GUT_GENOME001853_00549	GUT_GENOME001853_00549;ed2deceb4035b84b1d93357fd0f75041	163	TIGRFAM	TIGR03426	shape_MreD: rod shape-determining protein MreD	3	GUT_GENOME001853_00549;146	3.0E-11	T	21-06-2019	IPR007227	Cell shape-determining protein MreD	GO:0008360|GO:0016021
GUT_GENOME001853_00549	GUT_GENOME001853_00549;ed2deceb4035b84b1d93357fd0f75041	163	Pfam	PF04093	rod shape-determining protein MreD	5	GUT_GENOME001853_00549;147	8.4E-8	T	21-06-2019	IPR007227	Cell shape-determining protein MreD	GO:0008360|GO:0016021
GUT_GENOME001853_00548	GUT_GENOME001853_00548;880b277ee704066a1f29896c66fb0bdb	305	TIGRFAM	TIGR00219	mreC: rod shape-determining protein MreC	9	GUT_GENOME001853_00548;272	6.6E-42	T	21-06-2019	IPR007221	Rod shape-determining protein MreC	GO:0008360
GUT_GENOME001853_00548	GUT_GENOME001853_00548;880b277ee704066a1f29896c66fb0bdb	305	Gene3D	G3DSA:2.40.10.350		178	GUT_GENOME001853_00548;258	1.1E-45	T	21-06-2019	IPR042175	Cell/Rod shape-determining protein MreC, domain 2
GUT_GENOME001853_00548	GUT_GENOME001853_00548;880b277ee704066a1f29896c66fb0bdb	305	PANTHER	PTHR34138		4	GUT_GENOME001853_00548;292	3.5E-58	T	21-06-2019	IPR007221	Rod shape-determining protein MreC	GO:0008360
GUT_GENOME001853_00548	GUT_GENOME001853_00548;880b277ee704066a1f29896c66fb0bdb	305	PIRSF	PIRSF038471		1	GUT_GENOME001853_00548;282	4.9E-64	T	21-06-2019	IPR007221	Rod shape-determining protein MreC	GO:0008360
GUT_GENOME001853_00548	GUT_GENOME001853_00548;880b277ee704066a1f29896c66fb0bdb	305	Gene3D	G3DSA:2.40.10.340		119	GUT_GENOME001853_00548;269	1.1E-45	T	21-06-2019	IPR042177	Cell/Rod shape-determining protein MreC, domain 1
GUT_GENOME001853_00548	GUT_GENOME001853_00548;880b277ee704066a1f29896c66fb0bdb	305	MobiDBLite	mobidb-lite	consensus disorder prediction	274	GUT_GENOME001853_00548;305	-	T	21-06-2019
GUT_GENOME001853_00548	GUT_GENOME001853_00548;880b277ee704066a1f29896c66fb0bdb	305	Pfam	PF04085	rod shape-determining protein MreC	121	GUT_GENOME001853_00548;270	3.3E-45	T	21-06-2019	IPR007221	Rod shape-determining protein MreC	GO:0008360
GUT_GENOME001853_00541	GUT_GENOME001853_00541;edf454c91a79c7141c7cbfcefaa08398	348	PANTHER	PTHR43575		95	GUT_GENOME001853_00541;347	1.3E-33	T	21-06-2019	IPR011542	SUF system FeS cluster assembly, SufD	GO:0016226
GUT_GENOME001853_00541	GUT_GENOME001853_00541;edf454c91a79c7141c7cbfcefaa08398	348	Pfam	PF01458	Uncharacterized protein family (UPF0051)	101	GUT_GENOME001853_00541;322	2.8E-46	T	21-06-2019	IPR000825	SUF system FeS cluster assembly, SufBD	GO:0016226
GUT_GENOME001853_00541	GUT_GENOME001853_00541;edf454c91a79c7141c7cbfcefaa08398	348	SUPERFAMILY	SSF101960		70	GUT_GENOME001853_00541;346	8.63E-54	T	21-06-2019	IPR037284	SUF system FeS cluster assembly, SufBD superfamily
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	SUPERFAMILY	SSF53383		9	GUT_GENOME001853_00540;401	8.58E-113	T	21-06-2019	IPR015424	Pyridoxal phosphate-dependent transferase
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	CDD	cd06453	SufS_like	24	GUT_GENOME001853_00540;398	0.0	T	21-06-2019
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	Gene3D	G3DSA:3.40.640.10		35	GUT_GENOME001853_00540;294	0.0	T	21-06-2019	IPR015421	Pyridoxal phosphate-dependent transferase, major domain	GO:0003824
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	TIGRFAM	TIGR01979	sufS: cysteine desulfurase, SufS family	7	GUT_GENOME001853_00540;405	0.0	T	21-06-2019	IPR010970	Cysteine desulfurase, SufS	GO:0006534|GO:0030170|GO:0031071	KEGG: 00730+2.8.1.7|MetaCyc: PWY-7250
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	PANTHER	PTHR43586:SF18		7	GUT_GENOME001853_00540;401	0.0	T	21-06-2019
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	Pfam	PF00266	Aminotransferase class-V	24	GUT_GENOME001853_00540;394	0.0	T	21-06-2019	IPR000192	Aminotransferase class V domain
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	PANTHER	PTHR43586		7	GUT_GENOME001853_00540;401	0.0	T	21-06-2019
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	ProSitePatterns	PS00595	Aminotransferases class-V pyridoxal-phosphate attachment site.	215	GUT_GENOME001853_00540;234	-	T	21-06-2019	IPR020578	Aminotransferase class-V, pyridoxal-phosphate binding site
GUT_GENOME001853_00540	GUT_GENOME001853_00540;96c2c958da14f768c53dc7e086e786f7	409	Gene3D	G3DSA:3.90.1150.10		9	GUT_GENOME001853_00540;398	0.0	T	21-06-2019	IPR015422	Pyridoxal phosphate-dependent transferase domain 1	GO:0003824
GUT_GENOME001853_00543	GUT_GENOME001853_00543;42854a94bc7c3e8a02661b282de98fcc	247	TIGRFAM	TIGR01978	sufC: FeS assembly ATPase SufC	5	GUT_GENOME001853_00543;242	8.6E-102	T	21-06-2019	IPR010230	FeS cluster assembly SUF system, ATPase SufC	GO:0005524
GUT_GENOME001853_00543	GUT_GENOME001853_00543;42854a94bc7c3e8a02661b282de98fcc	247	ProSiteProfiles	PS50893	ATP-binding cassette, ABC transporter-type domain profile.	5	GUT_GENOME001853_00543;245	17.334	T	21-06-2019	IPR003439	ABC transporter-like	GO:0005524|GO:0016887
GUT_GENOME001853_00543	GUT_GENOME001853_00543;42854a94bc7c3e8a02661b282de98fcc	247	SUPERFAMILY	SSF52540		4	GUT_GENOME001853_00543;230	5.2E-46	T	21-06-2019	IPR027417	P-loop containing nucleoside triphosphate hydrolase
