#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000297000_00022	1121374.KB891575_gene958	2.41e-59	196.0	COG0672@1|root,COG0672@2|Bacteria,1N48M@1224|Proteobacteria,1S7GF@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	)-iron permease	-	-	-	ko:K07243	-	-	-	-	ko00000,ko02000	2.A.108.1,2.A.108.2	-	-	FTR1
MGYG000297000_00054	1123392.AQWL01000004_gene2757	2.22e-39	143.0	COG2165@1|root,COG2165@2|Bacteria,1RHE1@1224|Proteobacteria,2VSJ6@28216|Betaproteobacteria	28216|Betaproteobacteria	NU	general secretion pathway protein	-	-	-	-	-	-	-	-	-	-	-	-	N_methyl
MGYG000297000_00087	1217720.ALOX01000065_gene3916	2.82e-181	520.0	COG4638@1|root,COG4638@2|Bacteria,1N6MJ@1224|Proteobacteria,2TVEE@28211|Alphaproteobacteria	28211|Alphaproteobacteria	P	COG4638 Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases, large terminal subunit	cbdA	-	1.14.12.10	ko:K00479,ko:K05549	ko00362,ko00364,ko00622,ko01100,ko01120,ko01220,map00362,map00364,map00622,map01100,map01120,map01220	M00551	R05290,R05291,R05428,R05621,R05622,R05665,R08100,R08101,R08108,R08109,R08110	RC00270,RC01378,RC01450,RC01910	br01602,ko00000,ko00001,ko00002,ko01000	-	-	-	Rieske,Ring_hydroxyl_A
MGYG000297000_00120	1144275.COCOR_00032	6.31e-116	345.0	COG0667@1|root,COG0667@2|Bacteria,1MV2Y@1224|Proteobacteria,42MVI@68525|delta/epsilon subdivisions,2WPP7@28221|Deltaproteobacteria	28221|Deltaproteobacteria	C	aldo keto reductase	-	-	-	-	-	-	-	-	-	-	-	-	Aldo_ket_red
MGYG000297000_00152	323261.Noc_2485	9.18e-60	191.0	COG2151@1|root,COG2151@2|Bacteria,1MZ9Y@1224|Proteobacteria,1S36X@1236|Gammaproteobacteria,1WY7B@135613|Chromatiales	135613|Chromatiales	S	TIGRFAM FeS assembly SUF system protein SufT	-	-	-	-	-	-	-	-	-	-	-	-	FeS_assembly_P
MGYG000297000_00185	1198232.CYCME_2561	1.44e-83	251.0	COG5517@1|root,COG5517@2|Bacteria,1RDWV@1224|Proteobacteria,1SB7F@1236|Gammaproteobacteria	1236|Gammaproteobacteria	Q	Ring hydroxylating beta subunit	-	-	-	ko:K14749	ko00642,ko01100,ko01120,ko01220,map00642,map01100,map01120,map01220	-	R05440	RC00098	br01602,ko00000,ko00001,ko01000	-	-	-	Ring_hydroxyl_B
MGYG000297000_00217	396588.Tgr7_1254	5.45e-90	274.0	COG0159@1|root,COG0159@2|Bacteria,1MXJV@1224|Proteobacteria,1RMGN@1236|Gammaproteobacteria,1WXGF@135613|Chromatiales	135613|Chromatiales	E	The alpha subunit is responsible for the aldol cleavage of indoleglycerol phosphate to indole and glyceraldehyde 3- phosphate	trpA	-	4.2.1.20	ko:K01695	ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230	M00023	R00674,R02340,R02722	RC00209,RC00210,RC00700,RC00701,RC02868	ko00000,ko00001,ko00002,ko01000	-	-	-	Trp_syntA
MGYG000297000_00249	1123368.AUIS01000003_gene1591	8.79e-121	367.0	COG0770@1|root,COG0770@2|Bacteria,1QTSF@1224|Proteobacteria,1RMGD@1236|Gammaproteobacteria,2NCE5@225057|Acidithiobacillales	225057|Acidithiobacillales	M	Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein	murF	-	6.3.2.10	ko:K01929	ko00300,ko00550,ko01100,ko01502,map00300,map00550,map01100,map01502	-	R04573,R04617	RC00064,RC00141	ko00000,ko00001,ko01000,ko01011	-	-	-	Mur_ligase,Mur_ligase_C,Mur_ligase_M
MGYG000297000_00281	1116472.MGMO_124c00070	7.71e-271	746.0	COG0499@1|root,COG0499@2|Bacteria,1MUQ2@1224|Proteobacteria,1RMW8@1236|Gammaproteobacteria,1XDX9@135618|Methylococcales	135618|Methylococcales	H	May play a key role in the regulation of the intracellular concentration of adenosylhomocysteine	ahcY	-	3.3.1.1	ko:K01251	ko00270,ko01100,map00270,map01100	M00035	R00192,R04936	RC00056,RC00069,RC01161,RC01243	ko00000,ko00001,ko00002,ko01000,ko01009,ko04147	-	-	-	AdoHcyase,AdoHcyase_NAD
MGYG000297000_00313	1121346.KB899840_gene1146	3.43e-298	821.0	COG1012@1|root,COG1012@2|Bacteria,1TP4S@1239|Firmicutes,4H9MF@91061|Bacilli,26R6D@186822|Paenibacillaceae	91061|Bacilli	C	Catalyzes the oxidation of malonate semialdehyde (MSA) and methylmalonate semialdehyde (MMSA) into acetyl-CoA and propanoyl-CoA, respectively	acoD	-	1.2.1.3	ko:K00128,ko:K00138	ko00010,ko00053,ko00071,ko00280,ko00310,ko00330,ko00340,ko00380,ko00410,ko00561,ko00620,ko00625,ko00903,ko00981,ko01100,ko01110,ko01120,ko01130,map00010,map00053,map00071,map00280,map00310,map00330,map00340,map00380,map00410,map00561,map00620,map00625,map00903,map00981,map01100,map01110,map01120,map01130	M00135	R00264,R00631,R00710,R00711,R00904,R01752,R01986,R02549,R02678,R02940,R02957,R03283,R03869,R04065,R04506,R04903,R05050,R05237,R05238,R05286,R06366,R08146	RC00047,RC00071,RC00080,RC00186,RC00218,RC00242,RC00816,RC01500	ko00000,ko00001,ko00002,ko01000	-	-	-	Aldedh
