#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000297001_01570	314287.GB2207_08291	7.09e-62	197.0	COG0742@1|root,COG0742@2|Bacteria,1MXKW@1224|Proteobacteria,1RN21@1236|Gammaproteobacteria,1J66E@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	J	Specifically methylates the guanine in position 966 of 16S rRNA in the assembled 30S particle	rsmD	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0008990,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016435,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0052913,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.171	ko:K08316	-	-	R07234	RC00003	ko00000,ko01000,ko03009	-	-	-	Cons_hypoth95
MGYG000297001_00389	637905.SVI_2872	2.45e-134	390.0	COG2866@1|root,COG2866@2|Bacteria,1MYRD@1224|Proteobacteria,1T1MH@1236|Gammaproteobacteria,2QA18@267890|Shewanellaceae	1236|Gammaproteobacteria	E	Protein of unknown function (DUF2817)	XCC2022	-	-	-	-	-	-	-	-	-	-	-	AstE_AspA,DUF2817,Peptidase_M14
MGYG000297001_00029	314287.GB2207_02032	2.53e-114	338.0	COG0697@1|root,COG0697@2|Bacteria,1MXJY@1224|Proteobacteria,1RNSM@1236|Gammaproteobacteria	1236|Gammaproteobacteria	EG	of the drug metabolite transporter (DMT) superfamily	-	-	-	-	-	-	-	-	-	-	-	-	EamA
MGYG000297001_00867	314287.GB2207_00165	1.76e-68	217.0	COG0404@1|root,COG0404@2|Bacteria,1N4UH@1224|Proteobacteria,1S8K1@1236|Gammaproteobacteria,1JA7N@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	E	Sarcosine oxidase, gamma subunit family	-	-	1.5.3.1	ko:K00305	ko00260,ko01100,map00260,map01100	-	R00610	RC00060,RC00557	ko00000,ko00001,ko01000	-	-	-	GCV_T,SoxG
MGYG000297001_00679	314287.GB2207_11713	4.92e-152	435.0	COG0739@1|root,COG0739@2|Bacteria,1MVTF@1224|Proteobacteria,1RMIR@1236|Gammaproteobacteria,1J4NR@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	M	COG0739 Membrane proteins related to metalloendopeptidases	-	-	-	-	-	-	-	-	-	-	-	-	DUF3738,Peptidase_M23
MGYG000297001_00608	1411685.U062_01272	1.62e-169	488.0	COG5002@1|root,COG5002@2|Bacteria,1MWF3@1224|Proteobacteria,1RN0F@1236|Gammaproteobacteria,1J4K9@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	T	COG0642 Signal transduction histidine kinase	phoR	-	2.7.13.3	ko:K07636	ko02020,map02020	M00434	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	DUF3329,HATPase_c,HisKA,PAS,PAS_4,PAS_8,PAS_9
MGYG000297001_00551	1121374.KB891586_gene2818	8.94e-124	363.0	COG0010@1|root,COG0010@2|Bacteria,1MVFH@1224|Proteobacteria,1RMH5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Belongs to the arginase family	speB	GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006576,GO:0006595,GO:0006596,GO:0006807,GO:0008150,GO:0008152,GO:0008783,GO:0009058,GO:0009308,GO:0009309,GO:0009445,GO:0009446,GO:0009987,GO:0016787,GO:0016810,GO:0016813,GO:0030145,GO:0034641,GO:0042401,GO:0043167,GO:0043169,GO:0044106,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0071704,GO:0097164,GO:1901564,GO:1901566,GO:1901576	3.5.3.11,3.5.3.8	ko:K01479,ko:K01480	ko00330,ko00340,ko01100,map00330,map00340,map01100	M00045,M00133	R01157,R02285	RC00024,RC00221,RC00329,RC00681	ko00000,ko00001,ko00002,ko01000	-	-	iB21_1397.B21_02730,iECB_1328.ECB_02767,iECD_1391.ECD_02767,iSbBS512_1146.SbBS512_E3370	Arginase
MGYG000297001_00644	722419.PH505_ap00710	3.83e-60	189.0	COG1522@1|root,COG1522@2|Bacteria,1MZ9D@1224|Proteobacteria,1S2KK@1236|Gammaproteobacteria,2Q24E@267888|Pseudoalteromonadaceae	1236|Gammaproteobacteria	K	helix_turn_helix ASNC type	-	-	-	-	-	-	-	-	-	-	-	-	AsnC_trans_reg,HTH_11,HTH_AsnC-type
MGYG000297001_00081	314287.GB2207_02417	4.22e-220	612.0	COG0082@1|root,COG0082@2|Bacteria,1MU98@1224|Proteobacteria,1RMQS@1236|Gammaproteobacteria,1J4PC@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	E	Catalyzes the anti-1,4-elimination of the C-3 phosphate and the C-6 proR hydrogen from 5-enolpyruvylshikimate-3-phosphate (EPSP) to yield chorismate, which is the branch point compound that serves as the starting substrate for the three terminal pathways of aromatic amino acid biosynthesis. This reaction introduces a second double bond into the aromatic ring system	aroC	GO:0000166,GO:0003674,GO:0003824,GO:0004107,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009423,GO:0009987,GO:0010181,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019438,GO:0019752,GO:0032553,GO:0036094,GO:0042802,GO:0043167,GO:0043168,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046417,GO:0048037,GO:0050662,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901576	4.2.3.5	ko:K01736	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R01714	RC00586	ko00000,ko00001,ko00002,ko01000	-	-	iE2348C_1286.E2348C_2469,iEC55989_1330.EC55989_2573,iECO103_1326.ECO103_2794,iECO111_1330.ECO111_3077,iECO26_1355.ECO26_3317,iECSE_1348.ECSE_2638,iECW_1372.ECW_m2518,iEKO11_1354.EKO11_1436,iSSON_1240.SSON_2387,iUMNK88_1353.UMNK88_2882,iWFL_1372.ECW_m2518	Chorismate_synt
MGYG000297001_01567	1411685.U062_01513	9.11e-77	230.0	COG0848@1|root,COG0848@2|Bacteria,1RHQ3@1224|Proteobacteria,1S7BK@1236|Gammaproteobacteria,1JBZW@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	U	Biopolymer transport protein ExbD/TolR	-	-	-	ko:K03559	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	ExbD
