#query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction
GUT_GENOME029311_00010	479436.Vpar_1785	4.2e-46	190.3	Firmicutes				ko:K07334					ko00000,ko02048				Bacteria	1VHBH@1239,COG3549@1,COG3549@2	NA|NA|NA	S	RelE-like toxin of type II toxin-antitoxin system HigB
GUT_GENOME029311_00011	479436.Vpar_1784	1.3e-51	208.8	Negativicutes	higA			ko:K21498					ko00000,ko02048				Bacteria	1VCFB@1239,4H89H@909932,COG3093@1,COG3093@2	NA|NA|NA	K	addiction module antidote protein, HigA
GUT_GENOME029311_00016	1485543.JMME01000002_gene1792	1e-11	76.6	Negativicutes	ngr												Bacteria	1VJZQ@1239,4H55F@909932,COG1592@1,COG1592@2	NA|NA|NA	C	Rubrerythrin
GUT_GENOME029311_00020	546273.VEIDISOL_00129	1e-108	399.4	Firmicutes	MA20_27160												Bacteria	1VZEW@1239,COG1994@1,COG1994@2	NA|NA|NA	S	Peptidase M50
GUT_GENOME029311_00027	546273.VEIDISOL_00137	2.6e-37	162.2	Negativicutes													Bacteria	1VANS@1239,4H54I@909932,COG0457@1,COG0457@2	NA|NA|NA	S	Tetratricopeptide repeat protein
GUT_GENOME029311_00030	546273.VEIDISOL_00140	1.1e-23	115.2	Negativicutes													Bacteria	1VFV9@1239,2DQI0@1,336ZN@2,4H60V@909932	NA|NA|NA	S	HicA toxin of bacterial toxin-antitoxin,
GUT_GENOME029311_00032	546273.VEIDISOL_00142	2.4e-156	558.1	Negativicutes	rarD	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016021,GO:0031224,GO:0044425,GO:0044464,GO:0071944		ko:K05786					ko00000,ko02000	2.A.7.7			Bacteria	1TQF2@1239,4H3AF@909932,COG2962@1,COG2962@2	NA|NA|NA	S	Psort location CytoplasmicMembrane, score 10.00
GUT_GENOME029311_00042	944564.HMPREF9200_0296	2.5e-26	126.3	Negativicutes			3.4.24.84	ko:K03799,ko:K06013	ko00900,ko01130,map00900,map01130	M00743	R09845	RC00141	ko00000,ko00001,ko00002,ko01000,ko01002,ko04147				Bacteria	1VER6@1239,4H5WC@909932,COG0501@1,COG0501@2	NA|NA|NA	O	Peptidase family M48
GUT_GENOME029311_00048	546273.VEIDISOL_00156	3.5e-237	827.4	Negativicutes	dinB		2.7.7.7	ko:K02346					ko00000,ko01000,ko03400				Bacteria	1TP42@1239,4H2A6@909932,COG0389@1,COG0389@2	NA|NA|NA	L	Poorly processive, error-prone DNA polymerase involved in untargeted mutagenesis. Copies undamaged DNA at stalled replication forks, which arise in vivo from mismatched or misaligned primer ends. These misaligned primers can be extended by PolIV. Exhibits no 3'-5' exonuclease (proofreading) activity. May be involved in translesional synthesis, in conjunction with the beta clamp from PolIII
GUT_GENOME029311_00050	866776.HMPREF9321_1726	2.2e-203	714.9	Negativicutes	pel		4.2.2.2	ko:K01728	ko00040,ko02024,map00040,map02024		R02361,R06240	RC00049,RC00705	ko00000,ko00001,ko01000				Bacteria	1U9EG@1239,4H3NR@909932,COG3866@1,COG3866@2	NA|NA|NA	G	Pectate lyase
GUT_GENOME029311_00053	546273.VEIDISOL_00160	1.1e-170	605.9	Negativicutes	lppC												Bacteria	1UYMJ@1239,4H6GK@909932,COG2503@1,COG2503@2	NA|NA|NA	S	5'-nucleotidase, lipoprotein e(P4) family
GUT_GENOME029311_00055	1123489.AUAN01000002_gene862	1.5e-280	972.6	Negativicutes	cas9			ko:K09952					ko00000,ko01000,ko02048				Bacteria	1TPSD@1239,4H6N0@909932,COG3513@1,COG3513@2	NA|NA|NA	L	HNH endonuclease
GUT_GENOME029311_00057	546273.VEIDISOL_00166	3.2e-147	527.7	Negativicutes													Bacteria	1V3CF@1239,28P06@1,2ZBWV@2,4H4BN@909932	NA|NA|NA		
GUT_GENOME029311_00060	866776.HMPREF9321_1703	5e-87	327.0	Negativicutes													Bacteria	1V6P8@1239,2DMCN@1,32M81@2,4H5GK@909932	NA|NA|NA		
GUT_GENOME029311_00063	546273.VEIDISOL_00173	9.9e-83	312.8	Negativicutes	yfbM												Bacteria	1V64D@1239,29094@1,2ZMYT@2,4H5WF@909932	NA|NA|NA	S	Domain of unknown function (DUF1877)
