GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	SUPERFAMILY	SSF56322		16	482	0.0	T	21-06-2019	IPR005801	ADC synthase	GO:0009058	
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	Coils	Coil		483	489	-	T	21-06-2019
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	PRINTS	PR00095	Anthranilate synthase component I signature	336	349	1.2E-20	T	21-06-2019	IPR019999	Anthranilate synthase component I-like	GO:0009058	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	PRINTS	PR00095	Anthranilate synthase component I signature	322	335	1.2E-20	T	21-06-2019	IPR019999	Anthranilate synthase component I-like	GO:0009058	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	PRINTS	PR00095	Anthranilate synthase component I signature	416	430	1.2E-20	T	21-06-2019	IPR019999	Anthranilate synthase component I-like	GO:0009058	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	PRINTS	PR00095	Anthranilate synthase component I signature	431	445	1.2E-20	T	21-06-2019	IPR019999	Anthranilate synthase component I-like	GO:0009058	KEGG: 00400+4.1.3.27|KEGG: 00405+4.1.3.27|MetaCyc: PWY-5958|MetaCyc: PWY-6661
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	PANTHER	PTHR11236		8	487	0.0	T	21-06-2019
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	Coils	Coil		177	197	-	T	21-06-2019
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	Pfam	PF00425	chorismate binding enzyme	221	474	2.6E-88	T	21-06-2019	IPR015890	Chorismate-utilising enzyme, C-terminal		
GUT_GENOME001853_00105	56ff77a4d54f39ed0d81093fb63589ac	489	Gene3D	G3DSA:3.60.120.10		2	489	0.0	T	21-06-2019	IPR005801	ADC synthase	GO:0009058	
