#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000297003_02424	880073.Calab_2028	6.29e-114	337.0	COG2084@1|root,COG2084@2|Bacteria,2NP96@2323|unclassified Bacteria	2|Bacteria	I	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase	-	-	1.1.1.31,1.1.1.60	ko:K00020,ko:K00042	ko00280,ko00630,ko01100,map00280,map00630,map01100	-	R01745,R01747,R05066	RC00099	ko00000,ko00001,ko01000	-	-	-	Hydrolase_3,NAD_binding_11,NAD_binding_2
MGYG000297003_02488	869213.JCM21142_41922	8.91e-148	427.0	COG0189@1|root,COG0189@2|Bacteria,4NHYZ@976|Bacteroidetes,47U7W@768503|Cytophagia	976|Bacteroidetes	HJ	ligase activity	-	-	-	-	-	-	-	-	-	-	-	-	RimK
MGYG000297003_02520	1121104.AQXH01000001_gene1244	6.51e-56	177.0	COG0838@1|root,COG0838@2|Bacteria,4NQET@976|Bacteroidetes	976|Bacteroidetes	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be a menaquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoA	GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0008137,GO:0008150,GO:0008152,GO:0016020,GO:0016491,GO:0016651,GO:0016655,GO:0030964,GO:0032991,GO:0044425,GO:0050136,GO:0055114,GO:0098796,GO:1902494	1.6.5.3	ko:K00330	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q4
MGYG000297003_02552	204669.Acid345_1475	2.83e-72	236.0	COG0436@1|root,COG0436@2|Bacteria,3Y5AV@57723|Acidobacteria,2JJXH@204432|Acidobacteriia	204432|Acidobacteriia	E	Cys/Met metabolism PLP-dependent enzyme	-	-	-	-	-	-	-	-	-	-	-	-	Aminotran_1_2
MGYG000297003_02584	926549.KI421517_gene3468	2.17e-41	149.0	COG0457@1|root,COG0457@2|Bacteria,4NXQQ@976|Bacteroidetes,47T7B@768503|Cytophagia	976|Bacteroidetes	S	Tetratricopeptide repeat	-	-	-	-	-	-	-	-	-	-	-	-	TOM20_plant,TPR_16,TPR_8
MGYG000297003_02616	1121930.AQXG01000001_gene1426	2.03e-63	200.0	COG0558@1|root,COG0558@2|Bacteria,4P65Y@976|Bacteroidetes	976|Bacteroidetes	I	CDP-alcohol phosphatidyltransferase	-	-	2.7.8.5	ko:K00995	ko00564,ko01100,map00564,map01100	-	R01801	RC00002,RC00017,RC02795	ko00000,ko00001,ko01000	-	-	-	CDP-OH_P_transf
MGYG000297003_02648	909663.KI867150_gene2266	9.07e-15	70.9	COG3747@1|root,COG3747@2|Bacteria,1P2H8@1224|Proteobacteria	1224|Proteobacteria	L	phage terminase small subunit	-	-	-	-	-	-	-	-	-	-	-	-	Terminase_4
MGYG000297003_02681	349520.PPE_04871	7.35e-95	286.0	COG1028@1|root,COG1028@2|Bacteria,1UV9Y@1239|Firmicutes,4I3D5@91061|Bacilli,26YU8@186822|Paenibacillaceae	91061|Bacilli	IQ	KR domain	-	-	-	-	-	-	-	-	-	-	-	-	adh_short,adh_short_C2
MGYG000297003_02713	1121930.AQXG01000001_gene1578	2.56e-51	167.0	COG0319@1|root,COG0319@2|Bacteria	2|Bacteria	C	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA	ybeY	GO:0000469,GO:0000478,GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004540,GO:0005488,GO:0006139,GO:0006355,GO:0006364,GO:0006396,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0016072,GO:0016151,GO:0016787,GO:0016788,GO:0016892,GO:0016894,GO:0019219,GO:0019222,GO:0019538,GO:0022613,GO:0030490,GO:0031323,GO:0031326,GO:0031554,GO:0031564,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0042254,GO:0042274,GO:0043043,GO:0043167,GO:0043169,GO:0043170,GO:0043244,GO:0043603,GO:0043604,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0046483,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1903506,GO:2000112,GO:2001141	2.6.99.2,3.5.4.5	ko:K01489,ko:K03474,ko:K03595,ko:K07042	ko00240,ko00750,ko00983,ko01100,map00240,map00750,map00983,map01100	M00124	R01878,R02485,R05838,R08221	RC00074,RC00514,RC01476	ko00000,ko00001,ko00002,ko01000,ko03009,ko03029	-	-	-	Cupin_2,DAGK_prokar,GNAT_acetyltr_2,Gate,KH_2,MMR_HSR1,PAP2,PdxJ,PhoH,UPF0054,dCMP_cyt_deam_1,tRNA_bind_3
MGYG000297003_02745	1121930.AQXG01000002_gene2369	1.27e-126	370.0	COG0111@1|root,COG0111@2|Bacteria,4NE9J@976|Bacteroidetes	976|Bacteroidetes	EH	PFAM D-isomer specific 2-hydroxyacid dehydrogenase	ghrA	-	1.1.1.79,1.1.1.81	ko:K12972	ko00260,ko00620,ko00630,ko01100,ko01110,ko01120,map00260,map00620,map00630,map01100,map01110,map01120	-	R00465,R01388,R01392,R02527	RC00031,RC00042,RC00670	ko00000,ko00001,ko01000	-	-	-	2-Hacid_dh,2-Hacid_dh_C
